x;y;z;e;
200;100;50;5;
20;11;46;2;
16;30;36;2;
20;88;16;2;
13;51;27;2;
20;86;13;1;
3;64;0;1;
5;13;15;2;
21;19;45;2;
3;75;11;2;
7;62;43;2;
12;89;40;2;
7;27;35;2;
13;37;12;1;
12;89;26;1;
13;65;1;2;
17;36;17;2;
15;28;49;1;
10;15;37;2;
4;0;50;1;
5;81;37;2;
63;44;39;1;
60;86;35;7;
102;55;38;5;
168;79;13;3;
72;20;0;3;
112;22;10;6;
137;8;12;1;
99;46;49;4;
162;22;48;4;
135;91;22;5;
56;61;10;6;
131;80;28;6;
153;3;1;1;
135;57;40;2;
128;63;46;4;
74;74;4;5;
87;23;36;2;
178;88;24;6;
125;18;13;8;
179;16;20;8;
138;43;31;2;
142;36;36;4;
71;78;17;2;
90;62;39;1;
145;56;40;8;
130;32;34;3;
104;56;27;2;
118;44;0;3;
111;86;7;2;
163;3;34;4;
199;89;40;6;
190;47;34;6;
193;84;6;8;
189;43;8;8;
186;19;28;8;
195;32;37;6;
183;40;12;7;
190;92;30;7;
198;10;8;7;
187;97;47;7;
191;65;9;8;
184;32;13;6;
189;82;15;8;
192;92;9;6;
200;12;33;6;
188;50;42;7;
184;54;20;8;
189;50;39;7;
189;53;25;6;
200;84;19;8;
193;39;19;8;
183;82;44;8;
189;2;25;7;
184;98;44;6;
182;88;49;7;
200;95;41;7;
181;83;36;8;
190;52;28;8;
196;39;17;7;
195;5;22;6;
83;33;34;3;
2;9;27;5;
35;26;22;5;
111;31;15;4;
62;20;37;4;
53;12;24;4;
114;29;15;4;
94;19;26;3;
106;29;28;4;
51;7;32;3;
40;33;32;5;
115;1;24;3;
13;0;32;5;
83;8;28;3;
76;15;28;3;
55;16;36;3;
92;37;16;5;
97;35;34;5;
11;26;26;4;
86;12;36;5;
